"ID","condition","correct","rt"
1,1,1,869.767489599504
1,1,1,546.440813672146
1,1,0,456.447082650386
1,1,0,418.788207892656
1,1,1,706.834721185857
1,1,0,624.006496164827
1,1,0,567.946576899981
1,1,1,1229.68850509801
1,1,1,531.88657953533
1,1,1,547.111171637066
1,1,0,786.264925467413
1,1,1,806.784039067718
1,1,0,498.543605361137
1,1,1,460.879514252769
1,1,1,432.063188051799
1,1,0,921.418320837556
1,1,1,727.363077315782
1,1,1,371.017610395664
1,1,1,494.902037890026
1,1,1,427.995847866001
1,1,1,926.192289760459
1,1,0,791.887542874457
1,1,0,474.532184118249
1,1,1,719.355647134448
1,1,0,572.700131267384
1,1,0,733.738429257751
1,1,1,496.2727396588
1,1,1,390.864670647401
1,1,0,667.072185943146
1,1,1,646.419684741554
1,1,0,425.399347822821
1,1,1,444.95900018336
1,1,1,756.345650172909
1,1,1,434.213266573366
1,1,1,678.675683917436
1,1,1,453.920408454014
1,1,1,809.733555870435
1,1,0,643.03426376672
1,1,0,989.051271017408
1,1,1,508.014165502685
1,1,1,745.241678577818
1,1,1,1616.00244807662
1,1,1,620.740114128
1,1,1,652.941919298786
1,1,1,1124.43336636387
1,1,0,602.716563682457
1,1,1,698.578468144229
1,1,1,1416.74907042785
1,1,0,581.202439802035
1,1,1,656.704856974444
1,1,1,437.006398264168
1,1,0,518.181310985888
1,1,1,630.878438163507
1,1,1,604.382253859946
1,1,1,763.308326681254
1,1,0,834.327072292679
1,1,0,564.391971938202
1,1,1,675.827802626355
1,1,1,436.905677494237
1,1,0,670.577429348913
1,1,0,949.703075443747
1,1,0,927.311578126684
1,1,1,487.850072106081
1,1,1,385.346221737081
1,1,1,562.741913202651
1,1,1,857.723890438444
1,1,1,619.327810025855
1,1,1,684.982087554664
1,1,0,742.361736308016
1,1,1,481.956508521464
1,1,1,660.329057384041
1,1,1,533.850679353368
1,1,0,472.090310600563
1,1,1,981.036658416453
1,1,0,834.322685144893
1,1,0,541.655605443626
1,1,1,1021.72387722881
1,1,0,456.06116137075
1,1,1,478.493874921447
1,1,1,414.286050445545
1,1,1,445.376904136717
1,1,0,713.648334218799
1,1,0,529.269015056497
1,1,1,728.193468181089
1,1,0,467.859857235051
1,1,1,557.336099299314
1,1,0,597.851774398926
1,1,0,604.589139906215
1,1,0,2284.47047721923
1,1,1,1236.29048136476
1,1,1,509.959715098021
1,1,0,803.863257899018
1,1,1,702.25818689204
1,1,0,554.276487020889
1,1,1,512.941431885114
1,1,0,559.754491690484
1,1,1,692.204439679348
1,1,1,535.807719216053
1,1,0,714.156480227696
1,1,1,485.672012400452
1,1,1,699.862424033164
1,1,1,426.329316702286
1,1,0,438.147670331501
1,1,0,629.963088746804
1,1,1,395.441596940196
1,1,1,684.533728239904
1,1,1,971.442302030769
1,1,1,755.038808206496
1,1,1,499.152679351301
1,1,0,476.511163691305
1,1,1,876.508817397295
1,1,1,777.936537354246
1,1,1,569.833410948895
1,1,0,384.951423056184
1,1,1,672.988983092405
1,1,1,1399.0730265772
1,1,1,646.943734865667
1,1,0,596.548630219149
1,1,1,593.703928958078
1,1,0,532.905126667812
1,1,0,630.163539518517
1,1,1,829.562131117308
1,1,1,597.705537650042
1,1,1,416.802203335045
1,1,1,461.063881229346
1,1,1,598.558395308586
1,1,0,416.978691885858
1,1,1,743.539806334254
1,1,1,707.564455878105
1,1,1,448.062847813016
1,1,0,844.859943097823
1,1,1,659.659970749515
1,1,1,450.306059752295
1,1,1,597.846462570597
1,1,0,886.085048166395
1,1,0,457.285388922148
1,1,0,653.550507356681
1,1,1,470.946826020858
1,1,1,482.870022634221
1,1,0,453.631034056282
1,1,1,421.805488090048
1,1,0,490.764146025333
1,1,0,468.720548823158
1,1,0,557.41854313266
1,1,0,520.66138544883
1,1,1,510.177458012773
1,1,1,820.248825405979
1,1,1,463.236437725996
1,1,0,763.394694686944
1,1,1,866.892377703877
1,1,0,1059.47132178344
1,1,0,452.507981856862
1,1,1,1163.80878073938
1,1,1,780.852108604322
1,1,0,649.08648728427
1,1,1,652.123732356753
1,1,1,538.33721480119
1,1,1,649.17086325979
1,1,1,548.047846690873
1,1,1,647.584630003976
1,1,1,657.63035350954
1,1,1,504.584621059981
1,1,1,501.892380785
1,1,1,1164.62538828543
1,1,1,632.813671490267
1,1,0,1452.59050536473
1,1,1,840.154726799114
1,1,0,464.508721955313
1,1,1,819.627839423541
1,1,1,587.990783384515
1,1,1,789.741134474385
1,1,1,629.233360542849
1,1,1,784.824912747593
1,1,0,462.476212018691
1,1,0,693.456785424091
1,1,1,425.753852313092
1,1,1,446.729968129166
1,1,0,456.097168417791
1,1,1,954.898450621553
1,1,1,869.819040842739
1,1,0,570.615223343187
1,1,1,622.270595873822
1,1,1,436.44760435409
1,1,1,576.801347487925
1,1,1,1055.99401142171
1,1,1,909.204191404116
1,1,0,477.627923149353
1,1,1,410.566756275799
1,1,1,580.573448920117
1,1,1,689.831515800769
1,1,1,531.034012904239
1,1,0,428.526766561181
1,1,1,378.967127715227
1,1,1,486.315100527097
1,1,1,620.809517392532
1,1,1,630.301711842217
1,1,1,1004.31529420551
1,1,1,623.996273123961
1,1,1,608.299563617469
1,1,0,631.562431318435
1,1,1,450.998910767271
1,1,1,607.269452320302
1,1,1,449.56618678134
1,1,1,897.66870557137
1,1,1,806.657960595889
1,1,1,496.477993564206
1,1,0,847.79004422675
1,1,1,905.087081670584
1,1,1,979.949609421452
1,1,0,499.971473449416
1,1,0,573.430620221361
1,1,1,789.484789448646
1,1,1,572.770658108177
1,1,0,469.055457756786
1,1,1,641.196562146695
1,1,1,813.539570816478
1,1,1,612.690957360132
1,1,1,704.246282620325
1,1,1,464.16016510109
1,1,0,508.282206008281
1,1,1,574.798229276536
1,1,1,548.339745821089
1,1,1,726.849865883797
1,1,1,596.013931861803
1,1,1,536.103232589445
1,1,1,603.788534028589
1,1,0,507.478911727588
1,1,0,833.48593716288
1,1,0,380.122556786335
1,1,1,468.954458577341
1,1,0,811.886834365403
1,1,1,504.389817801194
1,1,0,551.215945403765
1,1,1,750.092191246175
1,1,1,694.170075972068
1,1,1,484.15453819625
1,1,1,490.345144811642
1,1,0,484.626627851882
1,1,0,461.967038099727
1,1,1,692.295027513911
1,1,0,452.90772636712
1,1,1,520.130879998789
1,1,0,634.74504212973
1,1,0,485.808743227598
1,1,1,861.831509255562
1,1,0,520.100787912626
1,1,1,795.877992332984
1,1,1,803.817790937511
1,1,1,626.408014330444
1,1,1,424.256638885281
1,1,0,879.911853599897
1,1,1,940.167587855549
1,1,1,519.050636774325
1,1,0,571.396176891231
1,1,1,602.154022618917
1,1,1,472.227794966195
1,1,1,434.461421844291
1,1,1,737.401266218412
1,1,1,454.977241517736
1,1,0,1065.32358312419
1,1,1,657.800760547919
1,1,0,936.014443889336
1,1,1,906.496548452582
1,1,1,417.229953000163
1,1,1,505.871404467591
1,1,1,551.205321224848
1,1,0,515.628510968784
1,1,0,789.473375304873
1,1,0,737.841122051339
1,1,1,693.83207832477
1,1,1,702.111972201373
1,1,1,809.500154370586
1,1,1,542.768987603361
1,1,1,480.428898162781
1,1,0,498.004549581395
1,1,0,1032.91592803562
1,1,1,557.800161343222
1,1,0,548.828435645175
1,1,0,511.593471756067
1,1,1,805.448487125833
1,1,0,494.822801650854
1,1,1,713.590985914172
1,1,0,671.821346202502
1,1,1,659.290479406907
1,1,1,656.19231523159
1,1,1,981.366543084364
1,1,0,496.217264412954
1,1,0,492.418432578569
1,1,1,528.103308087049
1,1,0,798.154443926602
1,1,1,569.856429871345
1,1,1,525.152227226754
1,1,1,624.946969644999
1,1,1,910.05997298026
1,1,1,965.241155843563
1,1,1,811.285185955015
1,1,0,726.873778027433
1,1,1,1012.50025355645
1,1,1,483.821521623513
1,1,1,570.996082887951
1,1,1,1008.45658842943
1,1,0,749.143001120101
1,1,1,627.595315493559
1,1,0,533.971869241571
1,1,1,874.714124046482
1,1,1,553.377764737709
1,1,1,906.964793611375
1,1,0,553.473536230988
1,1,0,474.910472628799
1,1,1,719.522089145854
1,1,0,1325.17451583137
1,1,1,396.943393527672
1,1,0,761.958073057783
1,1,0,838.395082590956
1,1,0,412.577298063177
1,1,0,475.383370148059
1,1,1,901.490100828482
1,1,1,665.803767494106
1,1,0,533.131846266131
1,1,1,678.042486629766
1,1,0,765.838830473278
1,1,1,394.961538227206
1,1,0,670.073348686408
1,1,0,637.528473077368
1,1,1,1336.90630067372
1,1,1,531.542359500089
1,1,1,714.419696919245
1,1,1,442.033878065688
1,1,1,722.538389438511
1,1,0,484.595408108941
1,1,0,529.839837965392
1,1,0,517.737310815006
1,1,0,609.938761738531
1,1,1,526.756157013994
1,1,0,982.393189888913
1,1,1,442.47230772512
1,1,1,454.189658586825
1,1,0,405.621828844808
1,1,1,556.772918475607
1,1,0,695.511328885509
1,1,1,588.639455299375
1,1,1,704.581794106377
1,1,1,436.530215774636
1,1,1,497.520074956062
1,1,1,538.497991288922
1,1,1,483.996359581399
1,1,1,638.905727514813
1,1,0,435.68638597026
1,1,0,393.12573176405
1,1,1,466.301275669458
1,1,1,1719.11361676871
1,1,1,623.578234378125
1,1,0,698.438813921837
1,1,1,396.165182560465
1,1,1,380.970369796927
1,1,1,619.646160142294
1,1,1,513.739502786434
1,1,1,920.477273742933
1,1,1,597.874148356835
1,1,1,724.787658580975
1,1,1,458.224068616485
1,1,1,761.547672329624
1,1,1,981.562212747091
1,1,1,716.459886047555
1,1,1,807.6110655734
1,1,1,719.705963412664
1,1,1,454.093483759415
1,1,0,1210.36150765453
1,1,0,758.785549710297
1,1,0,697.321313875883
1,1,1,988.869595160636
1,1,1,589.033460963614
1,1,0,455.613827896553
1,1,1,747.112320232047
1,1,1,568.98326348202
1,1,1,1286.46495870571
1,1,1,831.944063983685
1,1,1,481.833242887364
1,1,1,399.882818596674
1,1,1,843.81842651459
1,1,1,712.682174469057
1,1,1,808.850443957475
1,1,1,401.145180866374
1,1,0,679.908555379282
1,1,1,499.63830652819
1,1,1,1013.05882739151
1,1,0,764.69001706369
1,1,1,978.43534198221
1,1,0,695.572653910806
1,1,0,719.755799331926
1,1,1,371.617105243726
1,1,1,755.647136287316
1,1,1,506.108592079644
1,1,1,541.123452316451
1,1,1,778.939371502893
1,1,0,451.038363639334
1,1,1,757.305494586631
1,1,0,450.56764424995
1,1,1,863.263051488172
1,1,1,569.709887542629
1,2,1,565.273292868653
1,2,1,771.988654251529
1,2,1,541.103384217642
